Problem,Run,IGDp_first,IGDp_final,IGDrelCheck
DTLZ3,1,1099.59574880811,493.935877661592,0
DTLZ3,2,1118.89510765764,485.970113194859,0
DTLZ3,3,1083.06985249132,487.277433089685,0
DTLZ3,4,991.863617825085,519.316573505354,0
DTLZ3,5,1030.6584541899,719.137518684001,0
DTLZ3,6,1063.7330630534,512.900643523041,0
DTLZ3,7,1242.14226926931,812.529302186938,0
DTLZ3,8,1033.15188202615,748.212724556493,0
DTLZ3,9,1125.59189749629,678.950732248815,0
DTLZ3,10,1058.05427758001,582.804561070002,0
DTLZ3,11,999.578009008654,676.202839376619,0
DTLZ3,12,1008.11746539971,551.668487009577,0
DTLZ3,13,1112.73343807475,609.266917528622,0
DTLZ3,14,848.378770900345,519.766865652265,0
DTLZ3,15,1226.1262890206,571.860233524653,0
DTLZ3,16,872.321583480407,556.908712245653,0
DTLZ3,17,1072.54765316098,547.633616082536,0
DTLZ3,18,899.547905901897,637.578653847867,0
DTLZ3,19,1053.03232075776,629.574310543809,0
DTLZ3,20,981.505730819679,509.245015130568,0
DTLZ4,1,1.41406778354702,0.857347087134118,0
DTLZ4,2,1.47397012150197,0.761875699298314,0
DTLZ4,3,1.49232905151752,0.9269415904194,0
DTLZ4,4,1.39602431462489,0.58093877563461,0
DTLZ4,5,1.4001893890056,0.849887125271994,0
DTLZ4,6,1.30833858823984,0.753281171672399,0
DTLZ4,7,1.37707359556548,0.77967497306787,0
DTLZ4,8,1.36665800286713,0.859654413635443,0
DTLZ4,9,1.41860496495666,0.741384734877107,0
DTLZ4,10,1.53158701596592,0.646365111546771,0
DTLZ4,11,1.45743381442729,0.761410704048727,0
DTLZ4,12,1.32409380153563,0.807982067834852,0
DTLZ4,13,1.35392216171834,0.669398721987284,0
DTLZ4,14,1.25425356751964,0.754899409217294,0
DTLZ4,15,1.38737089613805,1.03341455185284,0
DTLZ4,16,1.43413825171654,0.891935523458786,0
DTLZ4,17,1.33735083033177,0.718075265732038,0
DTLZ4,18,1.41939256680611,0.837227766308018,0
DTLZ4,19,1.49605205673447,0.781048206067064,0
DTLZ4,20,1.41984313542319,0.830170825777409,0
DTLZ5,1,0.719371558923944,0.342384601473343,0
DTLZ5,2,0.839673327622246,0.424513924892368,0
DTLZ5,3,0.886910688576465,0.39876950367254,0
DTLZ5,4,0.697798818598908,0.36472484754647,0
DTLZ5,5,0.801600041551242,0.39965370872222,0
