problem,M,run,stage,gen,ratio,mean_conf,acc_conv,acc_hyb,auc_conv,auc_hyb,auc_pair_conv,auc_pair_hyb,acc_pair_conv,acc_pair_hyb,n_pairs
DTLZ4,20,3,5,20,1,0.45599943051355,0.58,0.66,0.673645320197044,0.592691622103387,0.569847423407798,0.532759547493973,0.418787878787879,0.488282828282828,9900
DTLZ4,20,4,1,0,0.333333333333333,0.553258345294801,0.58,0.54,0.80952380952381,0.764895330112721,0.641456326193352,0.604147472465299,0.418787878787879,0.391313131313131,9900
DTLZ4,20,4,2,2,0.5,0.479868714147868,0.72,0.62,0.47718253968254,0.556876061120543,0.488942213069822,0.540449815816917,0.553131313131313,0.451111111111111,9900
DTLZ4,20,4,3,5,0.666666666666667,0.483613532883547,0.7,0.76,0.52,0.515350877192982,0.511459948796723,0.527691726238188,0.53030303030303,0.602424242424242,9900
DTLZ4,20,4,4,10,0.833333333333333,0.502253349537877,0.74,0.72,0.585758835758836,0.569940476190476,0.571401647005427,0.553276866867356,0.577171717171717,0.553131313131313,9900
DTLZ4,20,4,5,20,1,0.493801774067694,0.58,0.62,0.636699507389163,0.580220713073005,0.582075247555299,0.55950813746557,0.418787878787879,0.451111111111111,9900
DTLZ4,20,5,1,0,0.333333333333333,0.554786845561451,0.62,0.56,0.838709677419355,0.810470779220779,0.682617333170047,0.645447666309267,0.451111111111111,0.404444444444444,9900
DTLZ4,20,5,2,2,0.5,0.507298030500377,0.78,0.64,0.592074592074592,0.60546875,0.536576468882753,0.567601507386825,0.628888888888889,0.469090909090909,9900
DTLZ4,20,5,3,5,0.666666666666667,0.496888125663623,0.82,0.62,0.56029810298103,0.592529711375212,0.528521734554556,0.544450105248653,0.685454545454545,0.451111111111111,9900
DTLZ4,20,5,4,10,0.833333333333333,0.497379222126189,0.68,0.74,0.560202205882353,0.484407484407484,0.546166776838343,0.502226449115098,0.508686868686869,0.577171717171717,9900
DTLZ4,20,5,5,20,1,0.553613377373493,0.68,0.64,0.733915441176471,0.884548611111111,0.664357579375862,0.751761163485527,0.508686868686869,0.469090909090909,9900
DTLZ7,10,1,1,0,0.333333333333333,0.436525103833035,0.72,0.66,0.672123015873016,0.511586452762923,0.626446885769499,0.520492837531755,0.553131313131313,0.488282828282828,9900
DTLZ7,10,1,2,2,0.5,0.55221465212741,0.64,0.68,0.709201388888889,0.705882352941177,0.613001571887983,0.61824387436771,0.469090909090909,0.508686868686869,9900
DTLZ7,10,1,3,5,0.666666666666667,0.499806589637576,0.62,0.68,0.656196943972835,0.650735294117647,0.566446422740764,0.575885205467999,0.451111111111111,0.508686868686869,9900
DTLZ7,10,1,4,10,0.833333333333333,0.647121246252536,0.72,0.68,0.705357142857143,0.712775735294118,0.599180279688319,0.649040232693031,0.553131313131313,0.508686868686869,9900
DTLZ7,10,1,5,20,1,0.579803663958117,0.56,0.62,0.726461038961039,0.644312393887946,0.595323943356508,0.584638262249218,0.404444444444444,0.451111111111111,9900
