Problem,M,Run,Seed,Stage,anchor_margin,score_hybrid,score_v,Hybrid - Direction,Hybrid - Margin
DTLZ2,20,23,12023,"S1_[0,0.25]",0.032,0.056,0.056,0.0,0.024
DTLZ2,20,23,12023,"S2_(0.25,0.50]",0.0552380952380952,0.0761904761904762,0.0628571428571429,0.013333333333333294,0.020952380952381
DTLZ2,20,23,12023,"S3_(0.50,0.75]",0.114,0.188,0.202,-0.014000000000000012,0.074
DTLZ2,20,23,12023,"S4_(0.75,1.00]",0.514285714285714,0.668571428571429,0.645714285714286,0.02285714285714302,0.15428571428571503
DTLZ2,20,24,12024,"S1_[0,0.25]",0.024,0.04,0.04,0.0,0.016
DTLZ2,20,24,12024,"S2_(0.25,0.50]",0.0933333333333333,0.0780952380952381,0.0590476190476191,0.019047619047619008,-0.01523809523809519
DTLZ2,20,24,12024,"S3_(0.50,0.75]",0.282,0.308,0.328,-0.020000000000000018,0.026000000000000023
DTLZ2,20,24,12024,"S4_(0.75,1.00]",0.681904761904762,0.613333333333334,0.598095238095238,0.015238095238095939,-0.06857142857142806
DTLZ2,20,25,12025,"S1_[0,0.25]",0.0,0.152,0.168,-0.016000000000000014,0.152
DTLZ2,20,25,12025,"S2_(0.25,0.50]",0.0685714285714286,0.140952380952381,0.102857142857143,0.038095238095238,0.07238095238095239
DTLZ2,20,25,12025,"S3_(0.50,0.75]",0.302,0.436,0.43,0.006000000000000005,0.134
DTLZ2,20,25,12025,"S4_(0.75,1.00]",0.773333333333333,0.685714285714286,0.664761904761905,0.020952380952381056,-0.08761904761904693
DTLZ4,10,1,21001,"S1_[0,0.25]",0.144,0.104,0.008,0.096,-0.039999999999999994
DTLZ4,10,1,21001,"S2_(0.25,0.50]",0.367619047619048,0.285714285714286,0.158095238095238,0.12761904761904797,-0.08190476190476204
DTLZ4,10,1,21001,"S3_(0.50,0.75]",0.558,0.476,0.376,0.09999999999999998,-0.08200000000000007
DTLZ4,10,1,21001,"S4_(0.75,1.00]",0.866666666666667,0.805714285714286,0.815238095238095,-0.009523809523808935,-0.06095238095238098
DTLZ4,10,2,21002,"S1_[0,0.25]",0.312,0.192,0.0,0.192,-0.12
DTLZ4,10,2,21002,"S2_(0.25,0.50]",0.594285714285714,0.24952380952381,0.161904761904762,0.08761904761904801,-0.34476190476190394
DTLZ4,10,2,21002,"S3_(0.50,0.75]",0.568,0.422,0.344,0.07800000000000001,-0.14599999999999996
DTLZ4,10,2,21002,"S4_(0.75,1.00]",0.88,0.811428571428572,0.777142857142857,0.03428571428571503,-0.06857142857142795
DTLZ4,10,3,21003,"S1_[0,0.25]",0.352,0.256,0.032,0.224,-0.09599999999999997
DTLZ4,10,3,21003,"S2_(0.25,0.50]",0.356190476190476,0.173333333333333,0.106666666666667,0.066666666666666,-0.182857142857143
DTLZ4,10,3,21003,"S3_(0.50,0.75]",0.586,0.348,0.234,0.11399999999999996,-0.238
DTLZ4,10,3,21003,"S4_(0.75,1.00]",0.80952380952381,0.822857142857143,0.737142857142857,0.08571428571428596,0.013333333333332975
DTLZ4,10,4,21004,"S1_[0,0.25]",0.248,0.168,0.04,0.128,-0.07999999999999999
DTLZ4,10,4,21004,"S2_(0.25,0.50]",0.356190476190476,0.24952380952381,0.188571428571429,0.06095238095238101,-0.106666666666666
DTLZ4,10,4,21004,"S3_(0.50,0.75]",0.538,0.506,0.43,0.07600000000000001,-0.03200000000000003
DTLZ4,10,4,21004,"S4_(0.75,1.00]",0.718095238095238,0.636190476190476,0.632380952380952,0.003809523809523929,-0.08190476190476204
DTLZ4,10,5,21005,"S1_[0,0.25]",0.104,0.168,0.096,0.07200000000000001,0.06400000000000002
DTLZ4,10,5,21005,"S2_(0.25,0.50]",0.28952380952381,0.323809523809524,0.272380952380952,0.05142857142857199,0.034285714285713975
DTLZ4,10,5,21005,"S3_(0.50,0.75]",0.682,0.566,0.466,0.09999999999999992,-0.1160000000000001
DTLZ4,10,5,21005,"S4_(0.75,1.00]",0.927619047619048,0.866666666666667,0.790476190476191,0.07619047619047603,-0.06095238095238098
DTLZ4,10,6,21006,"S1_[0,0.25]",0.168,0.32,0.24,0.08000000000000002,0.152
DTLZ4,10,6,21006,"S2_(0.25,0.50]",0.361904761904762,0.327619047619048,0.259047619047619,0.06857142857142895,-0.03428571428571403
