algorithm,problem,FE_checkpoint,n,mean_IGD,sd_IGD
PIEA,DTLZ4,300,30,1.2340312583526445,0.05326729494002462
PIEA,DTLZ5,120,30,0.7026272819272317,0.11747008792432156
PIEA,DTLZ5,150,30,0.5506210330170344,0.08880771257991017
PIEA,DTLZ5,200,30,0.412776889324668,0.05993604179689677
PIEA,DTLZ5,250,30,0.34477966815792555,0.05276862643534517
PIEA,DTLZ5,300,30,0.2983353404516781,0.03716416933966876
PIEA,DTLZ7,120,30,25.63256610089494,3.675685217020277
PIEA,DTLZ7,150,30,22.44606560553465,5.478160245179217
PIEA,DTLZ7,200,30,21.548149103388067,5.342426274065629
PIEA,DTLZ7,250,30,20.79807890379346,5.212848247018897
PIEA,DTLZ7,300,30,20.06584292051892,5.517353170115774
CSEA,DTLZ2,120,30,1.6577694007228823,0.054400212847629636
CSEA,DTLZ2,150,30,1.5922826276217519,0.08041084184936745
CSEA,DTLZ2,200,30,1.470011090399264,0.09373494113511696
CSEA,DTLZ2,250,30,1.3876166840992534,0.09907808924007479
CSEA,DTLZ2,300,30,1.3137509279163981,0.09531339255917903
CSEA,DTLZ4,120,30,1.8553476111026346,0.08909482067435073
CSEA,DTLZ4,150,30,1.6925910345132011,0.07990656441866428
CSEA,DTLZ4,200,30,1.4953469771929397,0.08250993643806422
CSEA,DTLZ4,250,30,1.3482810300935775,0.08361571248105437
CSEA,DTLZ4,300,30,1.2394791230630526,0.08238014401893168
CSEA,DTLZ5,120,30,1.0989113244445197,0.10336237335073666
CSEA,DTLZ5,150,30,1.017563162264992,0.10587910880673296
CSEA,DTLZ5,200,30,0.9224737931374266,0.11804313952509597
CSEA,DTLZ5,250,30,0.828847585727919,0.1339888965714992
CSEA,DTLZ5,300,30,0.7517462290054467,0.122273432205554
CSEA,DTLZ7,120,30,30.237529403174296,2.1592242297553623
CSEA,DTLZ7,150,30,29.524046900469443,1.8753958104999962
CSEA,DTLZ7,200,30,29.140556724300033,2.3150168492323817
CSEA,DTLZ7,250,30,28.462880929880665,3.0628422416948746
CSEA,DTLZ7,300,30,27.770920193248852,3.0250947320055803
PC-SAEA,DTLZ2,120,30,1.6731983462378144,0.07005972848336689
PC-SAEA,DTLZ2,150,30,1.6372559853985116,0.06571624633174947
PC-SAEA,DTLZ2,200,30,1.5938014860569398,0.05798514331248622
PC-SAEA,DTLZ2,250,30,1.5487674598725862,0.0498824935965316
PC-SAEA,DTLZ2,300,30,1.5128017236679365,0.05884345272214946
PC-SAEA,DTLZ4,120,30,1.8574010300699328,0.08481799632686723
PC-SAEA,DTLZ4,150,30,1.8324815971837012,0.08849771323445446
PC-SAEA,DTLZ4,200,30,1.7809200164678327,0.08464757868088657
PC-SAEA,DTLZ4,250,30,1.7315833811298589,0.08290789576545023
PC-SAEA,DTLZ4,300,30,1.6760983717464526,0.07624034576298724
PC-SAEA,DTLZ5,120,30,1.1000338120017419,0.08686852660409612
PC-SAEA,DTLZ5,150,30,1.0662480863296673,0.08876026929294774
PC-SAEA,DTLZ5,200,30,1.0265781450171496,0.09507767858613737
PC-SAEA,DTLZ5,250,30,0.9904599083969774,0.09189352195151573
PC-SAEA,DTLZ5,300,30,0.9749183811980056,0.0849041117227278
PC-SAEA,DTLZ7,120,30,29.89662485937711,2.427046932880836
PC-SAEA,DTLZ7,150,30,29.670897203860292,2.1478891538314584
PC-SAEA,DTLZ7,200,30,29.18621949169414,2.2518158332767695
PC-SAEA,DTLZ7,250,30,28.96659376642845,2.144426539361466
PC-SAEA,DTLZ7,300,30,28.79468843247556,2.032501483245316
K-RVEA,DTLZ2,120,30,1.6508456757340655,0.10336849247050779
K-RVEA,DTLZ2,150,30,1.583000480731289,0.1079501100939271
K-RVEA,DTLZ2,200,30,1.5200493738315957,0.10995574026554952
K-RVEA,DTLZ2,250,30,1.4767622095984492,0.11287086637195635
K-RVEA,DTLZ2,300,30,1.4255569813061766,0.10660459610453218
K-RVEA,DTLZ4,120,30,1.8995162903609721,0.06682370494957982
K-RVEA,DTLZ4,150,30,1.8320819727471773,0.09195847783483892
K-RVEA,DTLZ4,200,30,1.7183091812475477,0.1031722141773539
K-RVEA,DTLZ4,250,30,1.6671493059181244,0.10707088889642066
K-RVEA,DTLZ4,300,30,1.6232109003929958,0.11005958803892282
K-RVEA,DTLZ5,120,30,1.0455344955650845,0.11410217811500946
K-RVEA,DTLZ5,150,30,0.9960757540044172,0.09960102141483626
K-RVEA,DTLZ5,200,30,0.9435001233607101,0.08422907300640108
K-RVEA,DTLZ5,250,30,0.9123717521465083,0.08827817651772522
K-RVEA,DTLZ5,300,30,0.8966370810843991,0.09337957455716042
K-RVEA,DTLZ7,120,30,12.650453715838925,2.038471344008001
K-RVEA,DTLZ7,150,30,7.191901975811566,1.4327274111630197
K-RVEA,DTLZ7,200,30,3.3700622985622184,1.0597971512445696
K-RVEA,DTLZ7,250,30,2.060738339636683,0.5803417261447104
K-RVEA,DTLZ7,300,30,1.6495493903462553,0.23080798358476512
MCEA/D,DTLZ2,120,30,1.2212692287384317,0.06547355384937334
MCEA/D,DTLZ2,150,30,1.17729969532717,0.07375481645858918
MCEA/D,DTLZ2,200,30,1.1281218038746468,0.06351961268199208
MCEA/D,DTLZ2,250,30,1.112758969366229,0.05922391548871141
MCEA/D,DTLZ2,300,30,1.0988460199824845,0.054493397983080054
MCEA/D,DTLZ4,120,30,1.4371377627769961,0.04213930308578608
MCEA/D,DTLZ4,150,30,1.303770318466212,0.020615511865248137
MCEA/D,DTLZ4,200,30,1.2723245598508697,0.01755061575653728
MCEA/D,DTLZ4,250,30,1.2607529314921992,0.019351645611541235
MCEA/D,DTLZ4,300,30,1.2517332665278942,0.016925027410780634
MCEA/D,DTLZ5,120,30,0.5682228111934566,0.09542111177439325
MCEA/D,DTLZ5,150,30,0.5092225279220911,0.09525768525060012
MCEA/D,DTLZ5,200,30,0.41640167365844066,0.07914636686198266
MCEA/D,DTLZ5,250,30,0.3901067226857765,0.07443676862498547
MCEA/D,DTLZ5,300,30,0.3590835711610081,0.05915641997350407
MCEA/D,DTLZ7,120,30,29.92514366548829,2.823341854822602
MCEA/D,DTLZ7,150,30,27.922676878729757,3.2800634949894114
MCEA/D,DTLZ7,200,30,24.403323250076348,4.683652001527551
MCEA/D,DTLZ7,250,30,23.06033041991743,5.191137057854618
MCEA/D,DTLZ7,300,30,20.930999754164123,5.338803897166392
