Problem,M,Stage,Truth,Metric,ViewA,ViewB,AvailablePairedRuns,ValidPairs,MeanA,MeanB,MeanDelta,MedianDelta,MeanRelativeImprovementPct,PValueRaw,PairedWinProbability,RankBiserial,PValueHolm,RejectHolm05
DTLZ2,10,"S2_(0.25,0.50]",population_final,Precision,score_hybrid,anchor_margin,25,25,0.198628571428571,0.154666666666667,0.0439619047619048,0.0400000000000001,31.8720718029962,0.000785574227491797,0.8,0.772307692307692,0.00942689072990156,1
DTLZ2,10,"S2_(0.25,0.50]",population_final,Precision,score_v,anchor_margin,25,25,0.190476190476191,0.154666666666667,0.0358095238095239,0.0323809523809524,29.2664156365383,0.00892746450285806,0.7,0.613333333333333,0.0803471805257225,0
DTLZ2,10,"S2_(0.25,0.50]",population_final,AUC,score_hybrid,score_v,25,25,0.660329198250479,0.650764979882608,0.00956421836787125,0.0104305676468732,1.87413224681127,0.231167212861145,0.52,0.273846153846154,0.883409879585385,0
DTLZ2,10,"S2_(0.25,0.50]",population_final,AUC,score_hybrid,anchor_margin,25,25,0.660329198250479,0.59995998542896,0.0603692128215189,0.062594725942926,10.3150508453186,4.07291433495254e-05,0.84,0.938461538461538,0.000488749720194305,1
DTLZ2,10,"S2_(0.25,0.50]",population_final,AUC,score_v,anchor_margin,25,25,0.650764979882608,0.59995998542896,0.0508049944536476,0.0464901377802637,9.05360656117866,0.00188518543866155,0.84,0.710769230769231,0.0169666689479539,1
DTLZ2,10,"S2_(0.25,0.50]",population_final,Lift,score_hybrid,score_v,25,25,1.68836120645876,1.6474270339878,0.0409341724709576,0.0810940382368948,4.06998525144599,0.326049462728915,0.6,0.224615384615385,1,0
DTLZ2,10,"S2_(0.25,0.50]",population_final,Lift,score_hybrid,anchor_margin,25,25,1.68836120645876,1.24735532591483,0.441005880543923,0.388057445200302,42.8992495027276,0.00040277492946398,0.92,0.809230769230769,0.00483329915356775,1
DTLZ2,10,"S2_(0.25,0.50]",population_final,Lift,score_v,anchor_margin,25,25,1.6474270339878,1.24735532591483,0.400071708072966,0.351859251859251,40.1216467402883,0.00130273783879569,0.8,0.735384615384615,0.0130273783879569,1
DTLZ2,10,"S2_(0.25,0.50]",population_h1,Precision,score_hybrid,score_v,25,25,0.965485714285714,0.964723809523809,0.00076190476190475,0.00190476190476174,0.0858477124109959,0.513516794528785,0.58,0.122529644268775,1,0
DTLZ2,10,"S2_(0.25,0.50]",population_h1,Precision,score_hybrid,anchor_margin,25,25,0.965485714285714,0.954819047619048,0.0106666666666666,0.0114285714285716,1.12864592172763,0.000687275702021898,0.8,0.769230769230769,0.00824730842426277,1
DTLZ2,10,"S2_(0.25,0.50]",population_h1,Precision,score_v,anchor_margin,25,25,0.964723809523809,0.954819047619048,0.00990476190476187,0.0114285714285712,1.04791222441476,0.00370175196797343,0.8,0.667692307692308,0.0407192716477078,1
DTLZ2,10,"S2_(0.25,0.50]",population_h1,AUC,score_hybrid,score_v,25,25,0.650243869953525,0.642165822205401,0.00807804774812379,0.00674859220691892,1.58765469546289,0.264149634063862,0.52,0.255384615384615,0.528299268127724,0
DTLZ2,10,"S2_(0.25,0.50]",population_h1,AUC,score_hybrid,anchor_margin,25,25,0.650243869953525,0.612219054141369,0.0380248158121561,0.0374139619314162,6.26113965884703,0.000101053333470501,0.8,0.889230769230769,0.00101053333470501,1
DTLZ2,10,"S2_(0.25,0.50]",population_h1,AUC,score_v,anchor_margin,25,25,0.642165822205401,0.612219054141369,0.0299467680640323,0.0352003097726292,5.05602108964457,0.0264309737781526,0.72,0.507692307692308,0.158585842668916,0
DTLZ2,10,"S2_(0.25,0.50]",population_h1,Lift,score_hybrid,score_v,25,25,1.03235733729638,1.03166456515934,0.0006927721370388,0.00108142801880851,0.0728038057321175,0.475805271485556,0.64,0.163076923076923,1,0
DTLZ2,10,"S2_(0.25,0.50]",population_h1,Lift,score_hybrid,anchor_margin,25,25,1.03235733729638,1.02047528916343,0.0118820481329535,0.0135283544348961,1.17382647207387,0.000602178579749257,0.84,0.784615384615385,0.00722614295699109,1
DTLZ2,10,"S2_(0.25,0.50]",population_h1,Lift,score_v,anchor_margin,25,25,1.03166456515934,1.02047528916343,0.0111892759959147,0.0121250320743516,1.1062086969303,0.0024697142925472,0.8,0.692307692307692,0.0271668572180192,1
DTLZ2,10,"S2_(0.25,0.50]",population_h3,Precision,score_hybrid,score_v,25,25,0.906361904761905,0.904838095238095,0.00152380952380952,0.00190476190476185,0.210587028442383,0.627859840110722,0.6,0.0984615384615385,1,0
DTLZ2,10,"S2_(0.25,0.50]",population_h3,Precision,score_hybrid,anchor_margin,25,25,0.906361904761905,0.877561904761905,0.0288,0.0361904761904761,3.32782891659196,0.000164566786337606,0.88,0.861538461538462,0.00197480143605127,1
DTLZ2,10,"S2_(0.25,0.50]",population_h3,Precision,score_v,anchor_margin,25,25,0.904838095238095,0.877561904761905,0.0272761904761905,0.0323809523809522,3.15110495668905,0.00117662902654536,0.8,0.744615384615385,0.0129429192919989,1
DTLZ2,10,"S2_(0.25,0.50]",population_h3,AUC,score_hybrid,score_v,25,25,0.648860834870087,0.643060945861633,0.00579988900845427,0.00398605439487532,1.14093531759262,0.191897880489051,0.6,0.298461538461538,0.575693641467152,0
DTLZ2,10,"S2_(0.25,0.50]",population_h3,AUC,score_hybrid,anchor_margin,25,25,0.648860834870087,0.606698548538713,0.0421622863313745,0.0409251213399786,6.95519773575883,2.86392873931145e-05,0.92,0.956923076923077,0.000286392873931145,1
DTLZ2,10,"S2_(0.25,0.50]",population_h3,AUC,score_v,anchor_margin,25,25,0.643060945861633,0.606698548538713,0.0363623973229203,0.0382046150302725,6.08960752057112,0.00350705977748676,0.8,0.667692307692308,0.0245494184424073,1
DTLZ2,10,"S2_(0.25,0.50]",population_h3,Lift,score_hybrid,score_v,25,25,1.08685029549233,1.08553558265032,0.00131471284201442,0.00267447614314076,0.159465216733814,0.716423138125903,0.56,0.0830769230769231,1,0
DTLZ2,10,"S2_(0.25,0.50]",population_h3,Lift,score_hybrid,anchor_margin,25,25,1.08685029549233,1.05166558872233,0.0351847067699976,0.0431802566362787,3.38293703495823,0.000174372656137261,0.88,0.858461538461538,0.00209247187364713,1
DTLZ2,10,"S2_(0.25,0.50]",population_h3,Lift,score_v,anchor_margin,25,25,1.08553558265032,1.05166558872233,0.0338699939279832,0.0400084215696845,3.2591761464606,0.000890537644222049,0.8,0.76,0.00979591408644254,1
DTLZ2,10,"S3_(0.50,0.75]",front_final,Precision,score_hybrid,score_v,25,25,0.86344,0.88048,-0.01704,-0.012,-1.84119754928164,0.0110545044691839,0.22,-0.613333333333333,0.0663270268151031,0
