[Gen  11 | FE= 188/ 300] p_err=0.244 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.128 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.327 I+=0.343 MD=0.330] | Lp=1.00 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.127 | 指标=SDE    | score=1(中  ) | Pw=[SDE=0.325 I+=0.343 MD=0.332] | Lp=2.40 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.185 | 指标=MD     | score=2(极优) | Pw=[SDE=0.343 I+=0.329 MD=0.329] | Lp=1.60 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.176 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.212 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.220 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.337 I+=0.325 MD=0.337] | Lp=1.60 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.207 | 指标=MD     | score=2(极优) | Pw=[SDE=0.343 I+=0.314 MD=0.343] | Lp=1.60 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.237 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.210 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.326 I+=0.343 MD=0.331] | Lp=2.00 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.168 | 指标=SDE    | score=1(中  ) | Pw=[SDE=0.317 I+=0.349 MD=0.334] | Lp=1.00 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.213 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.343 I+=0.329 MD=0.328] | Lp=1.35 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.278 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.197 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.195 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.338 I+=0.325 MD=0.338] | Lp=1.35 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.209 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.343 I+=0.314 MD=0.343] | Lp=1.60 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.201 | 指标=MD     | score=2(极优) | Pw=[SDE=0.324 I+=0.344 MD=0.332] | Lp=2.00 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.146 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.338 I+=0.338 MD=0.323] | Lp=1.60 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.218 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.315 I+=0.350 MD=0.334] | Lp=1.15 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.252 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.344 I+=0.329 MD=0.327] | Lp=1.35 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.252 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.287 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.266 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.344 I+=0.312 MD=0.344] | Lp=1.60 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.243 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.338 I+=0.325 MD=0.338] | Lp=1.35 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.164 | 指标=MD     | score=0(差  ) | Pw=[SDE=0.330 I+=0.352 MD=0.317] | Lp=2.00 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.225 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=1.60 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.193 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.316 I+=0.351 MD=0.333] | Lp=1.15 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.232 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.199 | 指标=MD     | score=2(极优) | Pw=[SDE=0.345 I+=0.328 MD=0.328] | Lp=1.35 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.388 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.206 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.345 I+=0.310 MD=0.345] | Lp=2.00 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.239 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.338 I+=0.325 MD=0.338] | Lp=2.00 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.229 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=1.35 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.186 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.331 I+=0.353 MD=0.315] | Lp=2.00 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.252 | 指标=SDE    | score=1(中  ) | Pw=[SDE=0.304 I+=0.358 MD=0.338] | Lp=2.00 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.187 | 指标=MD     | score=2(极优) | Pw=[SDE=0.345 I+=0.326 MD=0.328] | Lp=1.35 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.245 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.358 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.368 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.338 I+=0.324 MD=0.338] | Lp=1.35 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.231 | 指标=I_eps+ | score=0(差  ) | Pw=[SDE=0.357 I+=0.286 MD=0.357] | Lp=3.10 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.233 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.319] | Lp=1.35 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.151 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.330 I+=0.355 MD=0.314] | Lp=2.00 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.208 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.306 I+=0.367 MD=0.327] | Lp=2.00 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.188 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.346 I+=0.327 MD=0.327] | Lp=1.35 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.245 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.243 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.321 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.338 I+=0.323 MD=0.338] | Lp=1.60 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.246 | 指标=MD     | score=2(极优) | Pw=[SDE=0.360 I+=0.280 MD=0.360] | Lp=3.10 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.235 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.341 I+=0.341 MD=0.317] | Lp=2.40 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.181 | 指标=MD     | score=2(极优) | Pw=[SDE=0.327 I+=0.357 MD=0.316] | Lp=2.00 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.189 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.302 I+=0.372 MD=0.326] | Lp=2.40 | n_eval=8
