problem,M,run,stage,ratio,variant,mean_conf,gate_weighted,delta_mean_conf,spearman_vs_base,jaccard_vs_base
DTLZ4,10,1,2,0.5,wfg_style,0.479506929851898,0,0.051185242340104,0.506870687068707,0.315789473684211
DTLZ4,10,1,2,0.5,de_wfg,0.525631515720832,0,0.0973098282090377,-0.0656705670567057,0.315789473684211
DTLZ4,10,1,2,0.5,minmax,0.502328166562995,0,0.0740064790512001,-0.29484902311182,0.724137931034483
DTLZ4,10,1,3,0.666666666666667,base,0.563798392243758,1,0,1,1
DTLZ4,10,1,3,0.666666666666667,x0.1,0.428105237919673,0,-0.135693154324085,-0.398739873987399,1
DTLZ4,10,1,3,0.666666666666667,x10,0.621508900445698,1,0.0577105082019399,1,1
DTLZ4,10,1,3,0.666666666666667,x100,0.629126824416099,1,0.0653284321723411,1,1
DTLZ4,10,1,3,0.666666666666667,wfg_style,0.410194798536755,0,-0.153603593707003,0.472139213921392,0.351351351351351
DTLZ4,10,1,3,0.666666666666667,de_wfg,0.522790872622616,0,-0.041007519621142,-0.202568256825683,0.351351351351351
DTLZ4,10,1,3,0.666666666666667,minmax,0.504438607287631,0,-0.0593597849561264,-0.219369936993699,0.666666666666667
DTLZ4,10,1,4,0.833333333333333,base,0.564762166452375,1,0,1,1
DTLZ4,10,1,4,0.833333333333333,x0.1,0.409598719599528,0,-0.155163446852847,-0.365136513651365,1
DTLZ4,10,1,4,0.833333333333333,x10,0.638678057136777,1,0.0739158906844017,1,1
DTLZ4,10,1,4,0.833333333333333,x100,0.648830306907307,1,0.0840681404549325,1,1
DTLZ4,10,1,4,0.833333333333333,wfg_style,0.54592798181676,0,-0.0188341846356147,0.58943894389439,0.282051282051282
DTLZ4,10,1,4,0.833333333333333,de_wfg,0.487638518434038,0,-0.0771236480183363,-0.454869486948695,0.315789473684211
DTLZ4,10,1,4,0.833333333333333,minmax,0.502703578486924,0,-0.0620585879654509,-0.464470447044705,0.5625
DTLZ4,10,1,5,1,base,0.516534871808792,0,0,1,1
DTLZ4,10,1,5,1,x0.1,0.483125993553824,0,-0.0334088782549681,-0.494758444395106,1
DTLZ4,10,1,5,1,x10,0.528736951339165,0,0.0122020795303724,1,1
DTLZ4,10,1,5,1,x100,0.529880547115562,0,0.0133456753067694,1,1
DTLZ4,10,1,5,1,wfg_style,0.458398525817453,0,-0.0581363459913391,0.731231510540117,0.5625
DTLZ4,10,1,5,1,de_wfg,0.544429391146669,0,0.0278945193378772,-0.523729515328625,0.515151515151515
DTLZ4,10,1,5,1,minmax,0.509116386664694,0,-0.00741848514409849,-0.477848651957108,0.851851851851852
DTLZ4,20,1,1,0.333333333333333,base,0.531248952727217,0,0,1,1
DTLZ4,20,1,1,0.333333333333333,x0.1,0.387827827273282,0,-0.143421125453934,-0.365136513651365,1
DTLZ4,20,1,1,0.333333333333333,x10,0.6319387170414,1,0.100689764314183,1,1
DTLZ4,20,1,1,0.333333333333333,x100,0.648096103237999,1,0.116847150510782,1,1
DTLZ4,20,1,1,0.333333333333333,wfg_style,0.500047770887592,0,-0.0312011818396252,0.659129912991299,0.351351351351351
DTLZ4,20,1,1,0.333333333333333,de_wfg,0.521657036228973,0,-0.00959191649824354,-0.427710771077108,0.470588235294118
DTLZ4,20,1,1,0.333333333333333,minmax,0.470548508086301,0,-0.0607004446409155,-0.19972397239724,0.612903225806452
DTLZ4,20,1,2,0.5,base,0.497643197412326,0,0,1,1
DTLZ4,20,1,2,0.5,x0.1,0.523921607761478,0,0.0262784103491521,-0.494749474947495,1
DTLZ4,20,1,2,0.5,x10,0.47463249454597,0,-0.0230107028663563,1,1
DTLZ4,20,1,2,0.5,x100,0.47049634258613,0,-0.0271468548261961,1,1
DTLZ4,20,1,2,0.5,wfg_style,0.621614110251925,1,0.123970912839599,-0.126576657665767,0.0869565217391304
DTLZ4,20,1,2,0.5,de_wfg,0.590989268304373,1,0.0933460708920464,-0.542262226222622,0.162790697674419
DTLZ4,20,1,2,0.5,minmax,0.507135922144819,0,0.00949272473249224,-0.0955832934990373,0.785714285714286
DTLZ4,20,1,3,0.666666666666667,base,0.481307477035212,0,0,1,1
DTLZ4,20,1,3,0.666666666666667,x0.1,0.590829305422999,1,0.109521828387787,-0.191623162316232,0.666666666666667
DTLZ4,20,1,3,0.666666666666667,x10,0.378003495235686,0,-0.103303981799526,0.884800480048005,0.851851851851852
DTLZ4,20,1,3,0.666666666666667,x100,0.361911449911314,0,-0.119396027123898,0.884800480048005,0.851851851851852
DTLZ4,20,1,3,0.666666666666667,wfg_style,0.368909978105883,0,-0.112397498929329,0.441656165616562,0.282051282051282
DTLZ4,20,1,3,0.666666666666667,de_wfg,0.608249599516324,1,0.126942122481112,-0.591407140714072,0.25
DTLZ4,20,1,3,0.666666666666667,minmax,0.507334069763474,0,0.0260265927282617,-0.224999250003763,0.612903225806452
DTLZ4,20,1,4,0.833333333333333,base,0.507356642441251,0,0,1,1
DTLZ4,20,1,4,0.833333333333333,x0.1,0.503362569373368,0,-0.00399407306788235,-0.5001500150015,1
DTLZ4,20,1,4,0.833333333333333,x10,0.501861009236704,0,-0.00549563320454616,1,1
DTLZ4,20,1,4,0.833333333333333,x100,0.500210382491745,0,-0.00714625994950546,1,1
DTLZ4,20,1,4,0.833333333333333,wfg_style,0.53744681905014,0,0.0300901766088898,0.292745274527453,0.219512195121951
DTLZ4,20,1,4,0.833333333333333,de_wfg,0.473152731479854,0,-0.0342039109613969,-0.304698469846985,0.315789473684211
DTLZ4,20,1,4,0.833333333333333,minmax,0.515799636167652,0,0.00844299372640123,-0.285076507650765,0.428571428571429
DTLZ4,20,1,5,1,base,0.449343667994137,0,0,1,1
DTLZ4,20,1,5,1,x0.1,0.578825844403347,1,0.12948217640921,-0.398739873987399,1
DTLZ4,20,1,5,1,x10,0.381605712120788,0,-0.0677379558733489,1,1
DTLZ4,20,1,5,1,x100,0.371222472515538,0,-0.0781211954785983,1,1
DTLZ4,20,1,5,1,wfg_style,0.534402933528638,0,0.0850592655345015,0.284476447644765,0.351351351351351
DTLZ4,20,1,5,1,de_wfg,0.619164125142956,1,0.169820457148819,-0.198559855985599,0.612903225806452
DTLZ4,20,1,5,1,minmax,0.508170331582395,0,0.0588266635882587,-0.233234122238485,0.851851851851852
DTLZ7,10,1,1,0.333333333333333,base,0.436525103833035,0,0,1,1
DTLZ7,10,1,1,0.333333333333333,x0.1,0.512801741650667,0,0.0762766378176322,1,1
DTLZ7,10,1,1,0.333333333333333,x10,0.421788372639707,0,-0.0147367311933285,1,1
DTLZ7,10,1,1,0.333333333333333,x100,0.420180318134454,0,-0.0163447856985809,1,1
DTLZ7,10,1,1,0.333333333333333,wfg_style,0.381527048149571,0,-0.0549980556834648,0.840504050405041,0.851851851851852
DTLZ7,10,1,1,0.333333333333333,de_wfg,0.540873983559202,0,0.104348879726167,0.415985598559856,0.428571428571429
DTLZ7,10,1,1,0.333333333333333,minmax,0.534700137528731,0,0.0981750336956954,0.175541554155416,0.25
DTLZ7,10,1,2,0.5,base,0.55221465212741,1,0,1,1
DTLZ7,10,1,2,0.5,x0.1,0.546484730435993,0,-0.00572992169141762,0.99971197119712,1
DTLZ7,10,1,2,0.5,x10,0.550286089689827,1,-0.00192856243758377,1,1
DTLZ7,10,1,2,0.5,x100,0.550029340480008,1,-0.00218531164740199,1,1
DTLZ7,10,1,2,0.5,wfg_style,0.4908090327312,0,-0.0614056193962101,0.730489048904891,0.785714285714286
DTLZ7,10,1,2,0.5,de_wfg,0.54369701962071,0,-0.00851763250670012,0.657953795379538,0.315789473684211
DTLZ7,10,1,2,0.5,minmax,0.513980294195896,0,-0.0382343579315149,0.347026702670267,0.219512195121951
DTLZ7,10,1,3,0.666666666666667,base,0.499806589637576,0,0,1,1
DTLZ7,10,1,3,0.666666666666667,x0.1,0.53250034928283,0,0.0326937596452544,0.999939993639326,1
DTLZ7,10,1,3,0.666666666666667,x10,0.491100097463317,0,-0.00870649217425873,1,1
DTLZ7,10,1,3,0.666666666666667,x100,0.490111336892489,0,-0.00969525274508665,1,1
DTLZ7,10,1,3,0.666666666666667,wfg_style,0.500901489187791,0,0.00109489955021497,0.787049427239288,0.851851851851852
DTLZ7,10,1,3,0.666666666666667,de_wfg,0.535976341323222,0,0.0361697516856462,0.571518580969583,0.388888888888889
DTLZ7,10,1,3,0.666666666666667,minmax,0.514957581101714,0,0.0151509914641388,0.256149151810092,0.162790697674419
DTLZ7,10,1,4,0.833333333333333,base,0.647121246252536,1,0,1,1
DTLZ7,10,1,4,0.833333333333333,x0.1,0.555130876257269,1,-0.0919903699952667,0.896993699369937,1
DTLZ7,10,1,4,0.833333333333333,x10,0.658731810292063,1,0.0116105640395273,1,1
DTLZ7,10,1,4,0.833333333333333,x100,0.659873560934707,1,0.012752314682171,1,1
DTLZ7,10,1,4,0.833333333333333,wfg_style,0.560215058386126,1,-0.0869061878664106,0.778289828982898,0.612903225806452
DTLZ7,10,1,4,0.833333333333333,de_wfg,0.51684888156329,0,-0.130272364689246,0.0200540054005401,0.5625
DTLZ7,10,1,4,0.833333333333333,minmax,0.532636905478507,0,-0.114484340774029,-0.233819381938194,0.282051282051282
DTLZ7,10,1,5,1,base,0.579803663958117,1,0,1,1
DTLZ7,10,1,5,1,x0.1,0.55785738405909,1,-0.021946279899027,0.652841284128413,1
DTLZ7,10,1,5,1,x10,0.571558445466507,1,-0.00824521849160997,1,1
DTLZ7,10,1,5,1,x100,0.570164203388713,1,-0.00963946056940335,1,1
DTLZ7,10,1,5,1,wfg_style,0.57155540539022,1,-0.00824825856789668,0.934701470147015,0.851851851851852
DTLZ7,10,1,5,1,de_wfg,0.528926266620225,0,-0.0508773973378918,-0.213369336933693,0.851851851851852
DTLZ7,10,1,5,1,minmax,0.5186120369708,0,-0.0611916269873164,-0.0198739873987399,0.5625
DTLZ7,20,1,1,0.333333333333333,base,0.350456526321403,0,0,1,1
DTLZ7,20,1,1,0.333333333333333,x0.1,0.419824823095818,0,0.0693682967744145,1,1
DTLZ7,20,1,1,0.333333333333333,x10,0.341080568055782,0,-0.00937595826562154,1,1
DTLZ7,20,1,1,0.333333333333333,x100,0.340108421493729,0,-0.0103481048276746,1,1
DTLZ7,20,1,1,0.333333333333333,wfg_style,0.350299839382908,0,-0.00015668693849491,0.561560156015602,0.851851851851852
DTLZ7,20,1,1,0.333333333333333,de_wfg,0.487947302228193,0,0.137490775906789,0.376285628562856,0.351351351351351
DTLZ7,20,1,1,0.333333333333333,minmax,0.575840751329513,1,0.22538422500811,0.173957395739574,0.219512195121951
DTLZ7,20,1,2,0.5,base,0.366868973534305,0,0,1,1
DTLZ7,20,1,2,0.5,x0.1,0.414147625557278,0,0.0472786520229727,1,1
DTLZ7,20,1,2,0.5,x10,0.360707876316584,0,-0.00616109721772146,1,1
DTLZ7,20,1,2,0.5,x100,0.360071007993789,0,-0.00679796554051632,1,1
DTLZ7,20,1,2,0.5,wfg_style,0.400161870452183,0,0.033292896917878,0.621902190219022,0.785714285714286
DTLZ7,20,1,2,0.5,de_wfg,0.460407526761662,0,0.0935385532273567,0.453153315331533,0.282051282051282
DTLZ7,20,1,2,0.5,minmax,0.575082831438777,1,0.208213857904472,0.0915571557155716,0.219512195121951
DTLZ7,20,1,3,0.666666666666667,base,0.31199136332128,0,0,1,1
DTLZ7,20,1,3,0.666666666666667,x0.1,0.39165781539612,0,0.0796664520748398,1,1
DTLZ7,20,1,3,0.666666666666667,x10,0.301240871787839,0,-0.0107504915334418,1,1
DTLZ7,20,1,3,0.666666666666667,x100,0.300124526993616,0,-0.0118668363276644,1,1
DTLZ7,20,1,3,0.666666666666667,wfg_style,0.300357573795191,0,-0.0116337895260892,0.68968496849685,0.851851851851852
DTLZ7,20,1,3,0.666666666666667,de_wfg,0.479508939045359,0,0.167517575724079,0.538649864986499,0.388888888888889
